Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status,Timestamp,MagnitudeLevel,Distance_km
02/04/1965,08:40:44,51.443,179.605,Earthquake,30.0,,,7,MW,,,,,,,ISCGEM859264,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T08:40:44.000+05:30,High,14294.766
02/04/1965,12:06:08,52.773,171.974,Earthquake,30.0,,,6,MW,,,,,,,ISCGEM859324,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T12:06:08.000+05:30,Moderate,14099.716
02/04/1965,12:50:59,51.772,174.696,Earthquake,20.0,,,5,MW,,,,,,,ISCGEM859333,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T12:50:59.000+05:30,Moderate,14236.844
02/04/1965,14:18:29,52.975,171.091,Earthquake,25.0,,,6,MW,,,,,,,ISCGEM859358,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T14:18:29.000+05:30,Moderate,14066.76
02/04/1965,15:51:25,52.99,170.874,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM859376,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T15:51:25.000+05:30,Moderate,14062.292
02/04/1965,18:34:12,51.536,175.045,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM859400,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T18:34:12.000+05:30,Moderate,14265.652
02/04/1965,19:44:04,13.245,-44.922,Earthquake,10.0,,,5,MW,,,,,,,ISCGEM859419,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T19:44:04.000+05:30,Moderate,5162.8394
02/04/1965,22:30:03,51.812,174.206,Earthquake,10.0,,,5,MW,,,,,,,ISCGEM859449,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-04T22:30:03.000+05:30,Moderate,14228.294
02/05/1965,06:39:50,51.762,174.841,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM859516,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-05T06:39:50.000+05:30,Moderate,14239.104
02/05/1965,09:32:11,52.438,174.321,Earthquake,39.5,,,6,MW,,,,,,,ISCGEM859539,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-05T09:32:11.000+05:30,Moderate,14160.234
02/05/1965,13:38:47,51.946,173.84,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM859570,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-05T13:38:47.000+05:30,Moderate,14210.21
02/05/1965,20:47:12,51.738,174.566,Earthquake,20.0,,,6,MW,,,,,,,ISCGEM859611,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-05T20:47:12.000+05:30,Moderate,14239.534
02/05/1965,22:16:02,51.487,176.558,Earthquake,30.4,,,5,MW,,,,,,,ISCGEM859620,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-05T22:16:02.000+05:30,Moderate,14280.853
02/06/1965,01:40:32,53.008,-162.008,Earthquake,17.8,,,6,MW,,,,,,,ISCGEM859637,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T01:40:32.000+05:30,Moderate,13889.288
02/06/1965,04:02:54,52.184,175.505,Earthquake,27.7,,,6,MW,,,,,,,ISCGEM859650,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T04:02:54.000+05:30,Moderate,14197.296
02/06/1965,07:14:45,52.076,172.918,Earthquake,30.1,,,5,MW,,,,,,,ISCGEM859669,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T07:14:45.000+05:30,Moderate,14186.715
02/06/1965,12:22:28,51.744,175.213,Earthquake,37.4,,,5,MW,,,,,,,ISCGEM859693,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T12:22:28.000+05:30,Moderate,14243.912
02/06/1965,14:11:11,52.057,174.116,Earthquake,17.5,,,5,MW,,,,,,,ISCGEM859699,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T14:11:11.000+05:30,Moderate,14200.483
02/06/1965,16:50:29,53.191,-161.859,Earthquake,22.5,,,6,MW,,,,,,,ISCGEM859712,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T16:50:29.000+05:30,Moderate,13866.689
02/06/1965,18:10:30,51.447,176.469,Earthquake,25.2,,,5,MW,,,,,,,ISCGEM859718,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-06T18:10:30.000+05:30,Moderate,14284.809
02/07/1965,02:17:08,51.258,173.393,Earthquake,17.7,,,5,MW,,,,,,,ISCGEM859754,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-07T02:17:08.000+05:30,Moderate,14281.58
02/07/1965,04:11:22,52.031,175.411,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM859764,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-07T04:11:22.000+05:30,Moderate,14213.58
02/07/1965,09:25:52,51.294,179.092,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM859786,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-07T09:25:52.000+05:30,Moderate,14310.813
02/08/1965,15:46:52,55.223,165.426,Earthquake,32.5,,,5,MW,,,,,,,ISCGEM859882,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-08T15:46:52.000+05:30,Moderate,13733.291
02/09/1965,05:42:05,-18.718,169.386,Earthquake,200.0,,,5,MW,,,,,,,ISCGEM859915,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-09T05:42:05.000+05:30,Moderate,17632.88
02/09/1965,17:37:17,52.815,171.904,Earthquake,30.0,,,6,MW,,,,,,,ISCGEM859942,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-09T17:37:17.000+05:30,Moderate,14094.293
02/12/1965,00:55:10,52.188,172.752,Earthquake,25.0,,,5,MW,,,,,,,ISCGEM860051,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-12T00:55:10.000+05:30,Moderate,14172.635
02/15/1965,01:25:07,51.009,179.325,Earthquake,20.0,,,5,MW,,,,,,,ISCGEM860189,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-15T01:25:07.000+05:30,Moderate,14342.787
02/15/1965,10:43:29,3.026,125.951,Earthquake,100.0,,,5,MW,,,,,,,ISCGEMSUP860207,ISCGEMSUP,ISCGEM,ISCGEM,Automatic,1965-02-15T10:43:29.000+05:30,Moderate,13998.672
02/16/1965,12:24:10,38.908,142.095,Earthquake,53.5,,,5,MW,,,,,,,ISCGEM860246,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-16T12:24:10.000+05:30,Moderate,14219.435
02/17/1965,10:18:51,51.694,176.446,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM860280,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-17T10:18:51.000+05:30,Moderate,14257.304
02/17/1965,18:23:57,21.527,143.081,Earthquake,340.0,,,5,MW,,,,,,,ISCGEM860296,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-17T18:23:57.000+05:30,Moderate,15350.353
02/18/1965,04:26:37,25.011,94.186,Earthquake,55.0,,,5,MW,,,,,,,ISCGEM860307,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-18T04:26:37.000+05:30,Moderate,10429.29
02/18/1965,22:39:48,-7.251,126.715,Earthquake,35.0,,,5,MW,,,,,,,ISCGEM860339,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-18T22:39:48.000+05:30,Moderate,14052.151
02/18/1965,23:13:40,51.415,179.358,Earthquake,40.4,,,5,MW,,,,,,,ISCGEM860340,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-18T23:13:40.000+05:30,Moderate,14297.681
02/21/1965,11:14:18,-15.343,-172.889,Earthquake,35.0,,,5,MW,,,,,,,ISCGEM860442,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-21T11:14:18.000+05:30,Moderate,18138.697
02/23/1965,22:11:47,-25.633,-70.679,Earthquake,35.0,,,7,MW,,,,,,,ISCGEM860516,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-23T22:11:47.000+05:30,High,8077.709
02/25/1965,04:51:29,-5.461,151.98,Earthquake,40.0,,,6,MW,,,,,,,ISCGEM860551,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-25T04:51:29.000+05:30,Moderate,16845.494
02/25/1965,05:22:14,51.884,173.072,Earthquake,20.3,,,6,MW,,,,,,,ISCGEM860552,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-25T05:22:14.000+05:30,Moderate,14209.436
02/26/1965,23:36:14,6.746,-72.971,Earthquake,160.0,,,5,MW,,,,,,,ISCGEM860605,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-26T23:36:14.000+05:30,Moderate,8127.5103
02/27/1965,07:46:25,28.133,-112.208,Earthquake,10.0,,,6,MW,,,,,,,ISCGEM860614,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-02-27T07:46:25.000+05:30,Moderate,12172.5205
03/01/1965,07:20:56,-5.377,152.115,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM858179,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T07:20:56.000+05:30,Moderate,16861.844
03/01/1965,08:18:57,21.104,121.218,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM858182,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T08:18:57.000+05:30,Moderate,13222.899
03/01/1965,09:08:48,-5.371,152.055,Earthquake,40.0,,,5,MW,,,,,,,ISCGEM858184,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T09:08:48.000+05:30,Moderate,16855.42
03/01/1965,13:20:57,21.122,121.148,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM858191,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T13:20:57.000+05:30,Moderate,13215.378
03/01/1965,19:22:04,52.204,173.911,Earthquake,33.6,,,5,MW,,,,,,,ISCGEM858198,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T19:22:04.000+05:30,Moderate,14182.4375
03/01/1965,21:32:14,15.404,-92.623,Earthquake,105.2,,,5,MW,,,,,,,ISCGEM858202,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-01T21:32:14.000+05:30,Moderate,10288.724
03/02/1965,22:00:05,38.399,28.226,Earthquake,10.0,,,5,MW,,,,,,,ISCGEM858256,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-02T22:00:05.000+05:30,Moderate,5151.578
03/03/1965,14:39:02,-27.145,-177.262,Earthquake,15.0,,,5,MW,,,,,,,ISCGEM858295,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-03T14:39:02.000+05:30,Moderate,16982.545
03/03/1965,15:14:08,-5.514,151.819,Earthquake,14.8,,,6,MW,,,,,,,ISCGEM858296,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-03T15:14:08.000+05:30,Moderate,16826.914
03/03/1965,16:47:28,53.046,171.308,Earthquake,25.7,,,6,MW,,,,,,,ISCGEM858298,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-03T16:47:28.000+05:30,Moderate,14061.771
03/04/1965,01:48:56,-5.487,146.993,Earthquake,200.0,,,5,MW,,,,,,,ISCGEM858312,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-04T01:48:56.000+05:30,Moderate,16300.177
03/05/1965,06:15:04,50.928,179.511,Earthquake,30.0,,,5,MW,,,,,,,ISCGEM858343,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-05T06:15:04.000+05:30,Moderate,14351.963
03/05/1965,13:42:47,52.39,174.937,Earthquake,35.0,,,5,MW,,,,,,,ISCGEM858354,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-05T13:42:47.000+05:30,Moderate,14170.457
03/05/1965,14:32:18,-27.027,-63.214,Earthquake,560.8,,,5,MW,,,,,,,ISCGEM858356,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-05T14:32:18.000+05:30,Moderate,7375.728
03/05/1965,17:59:16,52.416,174.239,Earthquake,35.0,,,5,MW,,,,,,,ISCGEM858362,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-05T17:59:16.000+05:30,Moderate,14161.964
03/06/1965,11:10:51,-18.425,-132.923,Earthquake,10.0,,,5,MW,,,,,,,ISCGEM858385,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-06T11:10:51.000+05:30,Moderate,14482.9795
03/06/1965,20:23:57,20.13,121.461,Earthquake,45.0,,,5,MW,,,,,,,ISCGEM858396,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-06T20:23:57.000+05:30,Moderate,13270.332
03/07/1965,01:43:11,-29.998,-177.968,Earthquake,50.0,,,6,MW,,,,,,,ISCGEM858401,ISCGEM,ISCGEM,ISCGEM,Automatic,1965-03-07T01:43:11.000+05:30,Moderate,16672.53
